time,open,high,low,close,tick_volume
2025-03-21 02:39:00,0.55589,0.5559,0.55587,0.55588,8
2025-03-21 02:40:00,0.55589,0.5559,0.55587,0.55589,11
2025-03-21 02:41:00,0.55588,0.55604,0.55588,0.55604,19
2025-03-21 02:42:00,0.55605,0.5561,0.55605,0.55609,14
2025-03-21 02:43:00,0.55609,0.55613,0.55603,0.55604,24
2025-03-21 02:44:00,0.55606,0.55611,0.55606,0.55611,17
2025-03-21 02:45:00,0.5561,0.55613,0.55609,0.55611,23
2025-03-21 02:46:00,0.55609,0.55619,0.55609,0.55618,14
2025-03-21 02:47:00,0.55617,0.55617,0.55602,0.55603,15
2025-03-21 02:48:00,0.55603,0.55608,0.55602,0.55608,8
2025-03-21 02:49:00,0.55608,0.5561,0.55607,0.55609,9
2025-03-21 02:50:00,0.5561,0.55615,0.5561,0.55612,16
2025-03-21 02:51:00,0.55612,0.55612,0.55607,0.55611,17
2025-03-21 02:52:00,0.5561,0.55612,0.55608,0.55609,17
2025-03-21 02:53:00,0.55611,0.55614,0.55596,0.55596,20
2025-03-21 02:54:00,0.55596,0.55597,0.55582,0.55582,29
2025-03-21 02:55:00,0.55579,0.55586,0.55579,0.55583,29
2025-03-21 02:56:00,0.55584,0.5559,0.55584,0.55588,16
2025-03-21 02:57:00,0.5559,0.55591,0.55585,0.55586,20
2025-03-21 02:58:00,0.55586,0.55592,0.55582,0.55582,27
2025-03-21 02:59:00,0.55582,0.55585,0.55579,0.55579,21
2025-03-21 03:00:00,0.55581,0.55584,0.55574,0.55574,24
2025-03-21 03:01:00,0.55576,0.55576,0.55556,0.55556,19
2025-03-21 03:02:00,0.55553,0.55561,0.55553,0.55561,28
2025-03-21 03:03:00,0.55562,0.55566,0.55555,0.55556,30
2025-03-21 03:04:00,0.55558,0.55558,0.55552,0.55554,18
2025-03-21 03:05:00,0.55554,0.55561,0.5555,0.55558,20
2025-03-21 03:06:00,0.55558,0.55558,0.55543,0.55545,28
2025-03-21 03:07:00,0.55544,0.55544,0.55529,0.55533,21
2025-03-21 03:08:00,0.55534,0.55543,0.55534,0.55542,19
2025-03-21 03:09:00,0.55541,0.55545,0.5554,0.55545,12
2025-03-21 03:10:00,0.55546,0.55556,0.55546,0.55553,22
2025-03-21 03:11:00,0.55552,0.55561,0.5555,0.5555,28
2025-03-21 03:12:00,0.5555,0.55555,0.55549,0.55553,16
2025-03-21 03:13:00,0.55555,0.55559,0.55554,0.55555,16
2025-03-21 03:14:00,0.55551,0.55554,0.55544,0.55554,14
2025-03-21 03:15:00,0.55554,0.55559,0.55546,0.55548,19
2025-03-21 03:16:00,0.55547,0.55557,0.55547,0.55551,19
